"x","y"
-103.75,34.25
-103.25,34.25
-102.75,34.25
-102.25,34.25
-101.75,34.25
-101.25,34.25
-100.75,34.25
-100.25,34.25
-99.75,34.25
-99.25,34.25
-98.75,34.25
-98.25,34.25
-97.75,34.25
-97.25,34.25
-96.75,34.25
-96.25,34.25
-95.75,34.25
-95.25,34.25
-94.75,34.25
-94.25,34.25
-93.75,34.25
-93.25,34.25
-92.75,34.25
-92.25,34.25
-91.75,34.25
-91.25,34.25
-90.75,34.25
-90.25,34.25
-89.75,34.25
-89.25,34.25
-88.75,34.25
-88.25,34.25
-87.75,34.25
-87.25,34.25
-86.75,34.25
-86.25,34.25
-85.75,34.25
-85.25,34.25
-84.75,34.25
-84.25,34.25
-83.75,34.25
-83.25,34.25
-82.75,34.25
-82.25,34.25
-81.75,34.25
-81.25,34.25
-80.75,34.25
-80.25,34.25
-79.75,34.25
-79.25,34.25
-78.75,34.25
-78.25,34.25
-77.75,34.25
-77.25,34.25
-120.25,33.75
-119.75,33.75
-118.25,33.75
-117.75,33.75
-117.25,33.75
-116.75,33.75
-116.25,33.75
-115.75,33.75
-115.25,33.75
-114.75,33.75
-114.25,33.75
-113.75,33.75
-113.25,33.75
-112.75,33.75
-112.25,33.75
-111.75,33.75
-111.25,33.75
-110.75,33.75
-110.25,33.75
-109.75,33.75
-109.25,33.75
-108.75,33.75
-108.25,33.75
-107.75,33.75
-107.25,33.75
-106.75,33.75
-106.25,33.75
-105.75,33.75
-105.25,33.75
-104.75,33.75
-104.25,33.75
-103.75,33.75
-103.25,33.75
-102.75,33.75
-102.25,33.75
-101.75,33.75
-101.25,33.75
-100.75,33.75
-100.25,33.75
-99.75,33.75
-99.25,33.75
-98.75,33.75
-98.25,33.75
-97.75,33.75
-97.25,33.75
-96.75,33.75
-96.25,33.75
-95.75,33.75
-95.25,33.75
-94.75,33.75
-94.25,33.75
-93.75,33.75
-93.25,33.75
-92.75,33.75
-92.25,33.75
-91.75,33.75
-91.25,33.75
-90.75,33.75
-90.25,33.75
-89.75,33.75
-89.25,33.75
-88.75,33.75
-88.25,33.75
-87.75,33.75
-87.25,33.75
-86.75,33.75
-86.25,33.75
-85.75,33.75
-85.25,33.75
-84.75,33.75
-84.25,33.75
-83.75,33.75
-83.25,33.75
-82.75,33.75
-82.25,33.75
-81.75,33.75
-81.25,33.75
-80.75,33.75
-80.25,33.75
-79.75,33.75
-79.25,33.75
-78.75,33.75
-78.25,33.75
-77.75,33.75
-119.75,33.25
-119.25,33.25
-118.75,33.25
-118.25,33.25
-117.75,33.25
-117.25,33.25
-116.75,33.25
-116.25,33.25
-115.75,33.25
-115.25,33.25
-114.75,33.25
-114.25,33.25
-113.75,33.25
-113.25,33.25
-112.75,33.25
-112.25,33.25
-111.75,33.25
-111.25,33.25
-110.75,33.25
-110.25,33.25
-109.75,33.25
-109.25,33.25
-108.75,33.25
